item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12
masala paneer pide,,,,,,,,,,,
mushroom pizza,makhani paneer pizza,,,,,,,,,,
jamaican chicken melt,murgh amritsari seekh melt,,,,,,,,,,
bageecha pizza,tripple cheese pizza,angara paneer melt,peri peri paneer pizza,,,,,,,,
makhani paneer pizza,chilli cheese garlic bread,,,,,,,,,,
peri peri paneer pizza,,,,,,,,,,,
masala paneer pide,masala potato pide,,,,,,,,,,
masala paneer pide,og cheese pide,,,,,,,,,,
margherita pizza,makhani paneer pizza,,,,,,,,,,
just pepperoni pide,mutton seekh pide,,,,,,,,,,
margherita pizza,bageecha pizza,,,,,,,,,,
margherita pizza,bageecha pizza,,,,,,,,,,
cheesy garlic bread,angara paneer melt,,,,,,,,,,
cheesy garlic bread,tripple cheese pizza,indian masala fries,chilli cheese garlic bread,peri peri fries,makhani paneer pizza,,,,,,
og cheese pide,,,,,,,,,,,
bageecha pizza,peri peri paneer pizza,,,,,,,,,,
murgh amritsari seekh pide,,,,,,,,,,,
spinach sumac pide,chilli cheese garlic bread,,,,,,,,,,
mutton seekh pide,murgh amritsari seekh pide,,,,,,,,,,
makhani paneer pizza,tipsy tiger fresh lime soda,cheesy garlic bread,tipsy tiger ginger ale,,,,,,,,
cheesy garlic bread,,,,,,,,,,,
all about chicken pizza,jamaican chicken melt,murgh amritsari seekh melt,desi pepperoni pizza,,,,,,,,
makhani paneer pizza,,,,,,,,,,,
peri peri paneer melt,tipsy tiger fresh lime soda,,,,,,,,,,
jamaican chicken melt,cheesy garlic bread,,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
margherita pizza,,,,,,,,,,,
murgh amritsari seekh pide,,,,,,,,,,,
makhani paneer pizza,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
peri peri paneer pizza,,,,,,,,,,,
margherita pizza,,,,,,,,,,,
masala paneer pide,herbed potato,,,,,,,,,,
masala paneer pide,,,,,,,,,,,
tipsy tiger fresh lime soda,angara paneer melt,cheesy garlic bread,,,,,,,,,
bellpepper onion pizza,indian masala fries,,,,,,,,,,
garlic aioli,tipsy tiger fresh lime soda,og cheese pide,mushroom pizza,herbed potato,,,,,,,
peri peri grilled chicken pizza,cheesy garlic bread,,,,,,,,,,
peri peri paneer pizza,salted fries,,,,,,,,,,
margherita pizza,all about chicken pizza,,,,,,,,,,
grilled tangdis,all about chicken pizza,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
murgh amritsari seekh pizza,,,,,,,,,,,
tipsy tiger fresh lime soda,tripple cheese pizza,fried chicken strips,,,,,,,,,
herbed potato,chilli cheese garlic bread,,,,,,,,,,
pepperoni garlic bread,chilli cheese garlic bread,,,,,,,,,,
angara paneer melt,tipsy tiger ginger ale,,,,,,,,,,
mushroom pizza,malai gud pide,bageecha pizza,,,,,,,,,
murgh amritsari seekh pizza,tripple cheese pizza,peri peri fries,chilli cheese garlic bread,,,,,,,,
makhani paneer pizza,,,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
bageecha pizza,all about chicken pizza,,,,,,,,,,
bageecha pizza,makhani paneer pizza,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
masala paneer pide,,,,,,,,,,,
fried chicken strips,,,,,,,,,,,
masala paneer pide,,,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
makhani paneer pizza,,,,,,,,,,,
peri peri paneer pizza,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
mushroom pizza,,,,,,,,,,,
margherita pizza,,,,,,,,,,,
cheesy garlic bread,,,,,,,,,,,
makhani paneer pizza,,,,,,,,,,,
chilli cheese garlic bread,bageecha pizza,,,,,,,,,,
garlic aioli,just pepperoni pide,,,,,,,,,,
masala paneer pide,makhani paneer pizza,,,,,,,,,,
just pepperoni pizza,,,,,,,,,,,
angara paneer melt,,,,,,,,,,,
makhani paneer pizza,murgh amritsari seekh pizza,,,,,,,,,,
masala paneer pide,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
murgh amritsari seekh melt,murgh amritsari garlic bread,,,,,,,,,,
pepperoni garlic bread,murgh amritsari seekh pizza,,,,,,,,,,
malai gud pide,,,,,,,,,,,
makhani paneer pizza,,,,,,,,,,,
chilli cheese garlic bread,bageecha pizza,,,,,,,,,,
bellpepper onion pizza,murgh amritsari seekh pizza,,,,,,,,,,
tripple cheese pizza,angara paneer melt,,,,,,,,,,
jamaican chicken melt,,,,,,,,,,,
mushroom mozzarella melt,bageecha pizza,,,,,,,,,,
makhani paneer pizza,chilli cheese garlic bread,malai gud pide,all about chicken pizza,,,,,,,,
chicken pepperoni pizza,,,,,,,,,,,
mushroom pizza,,,,,,,,,,,
murgh amritsari garlic bread,murgh amritsari seekh pizza,jamaican chicken melt,,,,,,,,,
grilled tangdis,bageecha pizza,,,,,,,,,,
harisa mayo,salted fries,grilled tangdis,peri peri fries,murgh amritsari seekh pizza,garlic aioli,,,,,,
margherita pizza,,,,,,,,,,,
peri peri grilled chicken pizza,,,,,,,,,,,
fried chicken strips,cheesy garlic bread,,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
masala paneer pide,bageecha pizza,,,,,,,,,,
bageecha pizza,iced green tea - peach,,,,,,,,,,
herbed potato,makhani paneer pizza,,,,,,,,,,
iced green tea - mojito,margherita pizza,,,,,,,,,,
murgh amritsari seekh pizza,makhani paneer pizza,,,,,,,,,,
just pepperoni pizza,chilli cheese garlic bread,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
malai gud pide,cheesy garlic bread,,,,,,,,,,
makhani paneer pizza,bageecha pizza,,,,,,,,,,
murgh amritsari seekh pide,,,,,,,,,,,
murgh amritsari seekh pide,,,,,,,,,,,
spinach sumac pide,masala paneer pide,,,,,,,,,,
murgh amritsari seekh pizza,peri peri grilled chicken pizza,,,,,,,,,,
murgh amritsari seekh pizza,peri peri grilled chicken pizza,,,,,,,,,,
murgh amritsari seekh melt,makhani paneer pizza,,,,,,,,,,
mushroom pizza,bageecha pizza,,,,,,,,,,
jamaican chicken melt,murgh amritsari seekh melt,,,,,,,,,,
murgh amritsari seekh melt,mushroom mozzarella melt,,,,,,,,,,
chicken pepperoni pizza,chilli cheese garlic bread,,,,,,,,,,
murgh amritsari seekh pide,,,,,,,,,,,
tripple cheese pizza,bageecha pizza,,,,,,,,,,
bageecha pizza,tripple cheese pizza,,,,,,,,,,
mushroom mozzarella melt,,,,,,,,,,,
indian masala cripser fries,,,,,,,,,,,
murgh amritsari seekh pizza,peri peri grilled chicken pizza,,,,,,,,,,
masala omelette pide,murgh amritsari seekh pide,,,,,,,,,,
fried chicken strips,murgh amritsari seekh melt,,,,,,,,,,
murgh amritsari garlic bread,,,,,,,,,,,
makhani paneer pizza,bageecha pizza,,,,,,,,,,
mutton seekh pide,just pepperoni pide,,,,,,,,,,
mushroom mozzarella melt,,,,,,,,,,,
murgh amritsari seekh melt,bageecha pizza,,,,,,,,,,
makhani paneer pizza,peri peri paneer pizza,,,,,,,,,,
margherita pizza,just pepperoni pizza,,,,,,,,,,
margherita pizza,bageecha pizza,herbed potato,cheesy garlic bread,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
masala paneer pide,murgh amritsari seekh melt,jamaican chicken melt,murgh amritsari seekh pide,,,,,,,,
fried chicken strips,grilled tangdis,jamaican chicken melt,,,,,,,,,
peri peri paneer pizza,bellpepper onion pizza,,,,,,,,,,
margherita pizza,og cheese pide,,,,,,,,,,
peri peri grilled chicken pizza,makhani paneer pizza,murgh amritsari seekh melt,murgh amritsari seekh pizza,all about chicken pizza,mutton seekh pizza,chicken pepperoni pizza,angara paneer melt,bageecha pizza,desi chicken pepperoni pizza,,
mutton seekh pizza,herbed potato,grilled tangdis,murgh amritsari seekh melt,,,,,,,,
cheesy garlic bread,,,,,,,,,,,
mushroom pizza,bageecha pizza,,,,,,,,,,
murgh amritsari seekh pide,,,,,,,,,,,
bageecha pizza,malai gud pide,,,,,,,,,,
murgh amritsari garlic bread,,,,,,,,,,,
all about chicken pizza,murgh amritsari seekh pizza,,,,,,,,,,
peri peri grilled chicken pizza,margherita pizza,,,,,,,,,,
makhani paneer pizza,,,,,,,,,,,
all about chicken pizza,,,,,,,,,,,
murgh amritsari garlic bread,cafreal sauce,,,,,,,,,,
margherita pizza,,,,,,,,,,,
mayonnaise,chilli cheese garlic bread,peri peri paneer pizza,,,,,,,,,
bageecha pizza,,,,,,,,,,,
tipsy tiger fresh lime soda,makhani paneer pizza,cheesy garlic bread,,,,,,,,,
cheesy garlic bread,bageecha pizza,,,,,,,,,,
mushroom pizza,,,,,,,,,,,
murgh amritsari garlic bread,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
murgh amritsari garlic bread,,,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
tripple cheese pizza,,,,,,,,,,,
just pepperoni pide,,,,,,,,,,,
jamaican chicken melt,just pepperoni pizza,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
all about chicken pizza,murgh amritsari garlic bread,,,,,,,,,,
peri peri paneer pizza,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
all about chicken pizza,bageecha pizza,,,,,,,,,,
tripple cheese pizza,,,,,,,,,,,
jamaican chicken melt,,,,,,,,,,,
margherita pizza,,,,,,,,,,,
margherita pizza,angara paneer melt,chilli cheese garlic bread,,,,,,,,,
chicken pepperoni pizza,,,,,,,,,,,
all about chicken pizza,,,,,,,,,,,
peri peri grilled chicken pizza,fried chicken strips,herbed potato,,,,,,,,,
jamaican chicken melt,,,,,,,,,,,
spinach sumac pide,,,,,,,,,,,
cheesy garlic bread,,,,,,,,,,,
bageecha pizza,peri peri grilled chicken pizza,,,,,,,,,,
jamaican chicken melt,,,,,,,,,,,
cheesy garlic bread,,,,,,,,,,,
margherita pizza,,,,,,,,,,,
murgh amritsari garlic bread,murgh amritsari seekh pizza,,,,,,,,,,
jamaican chicken melt,,,,,,,,,,,
bageecha pizza,brocolli onion pizza,jamaican chicken melt,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
angara paneer melt,,,,,,,,,,,
makhani paneer pizza,bageecha pizza,,,,,,,,,,
bellpepper onion pizza,,,,,,,,,,,
murgh amritsari seekh pizza,,,,,,,,,,,
mushroom mozzarella melt,masala paneer pide,,,,,,,,,,
murgh amritsari seekh pide,,,,,,,,,,,
jamaican chicken melt,tripple cheese pizza,,,,,,,,,,
jamaican chicken melt,murgh amritsari seekh pizza,,,,,,,,,,
makhani paneer pizza,peri peri paneer pizza,,,,,,,,,,
murgh amritsari seekh pizza,desi pepperoni pizza,,,,,,,,,,
jamaican chicken melt,malai gud pide,bageecha pizza,,,,,,,,,
all about chicken pizza,desi chicken pepperoni pizza,,,,,,,,,,
jamaican chicken melt,,,,,,,,,,,
murgh amritsari seekh melt,jamaican chicken melt,,,,,,,,,,
just pepperoni pizza,jamaican chicken melt,,,,,,,,,,
cheesy garlic bread,angara paneer melt,,,,,,,,,,
peri peri paneer pizza,grilled tangdis,murgh amritsari seekh pizza,,,,,,,,,
just pepperoni pizza,all about chicken pizza,,,,,,,,,,
murgh amritsari seekh pizza,peri peri grilled chicken pizza,,,,,,,,,,
bageecha pizza,mushroom pizza,,,,,,,,,,
murgh amritsari seekh pide,,,,,,,,,,,
murgh amritsari garlic bread,pepperoni garlic bread,,,,,,,,,,
mutton seekh pizza,bageecha pizza,,,,,,,,,,
peri peri paneer pizza,bageecha pizza,,,,,,,,,,
peri peri fries,just pepperoni pide,spinach sumac pide,fried chicken strips,,,,,,,,
masala paneer pide,spinach sumac pide,,,,,,,,,,
cheesy garlic bread,,,,,,,,,,,
margherita pizza,just pepperoni pide,all about chicken pizza,,,,,,,,,
makhani paneer pizza,chilli cheese garlic bread,cheesy garlic bread,bageecha pizza,,,,,,,,
mushroom mozzarella melt,,,,,,,,,,,
fried chicken strips,pepperoni garlic bread,grilled tangdis,,,,,,,,,
peri peri grilled chicken pizza,,,,,,,,,,,
murgh amritsari seekh melt,margherita pizza,,,,,,,,,,
mushroom pizza,bageecha pizza,,,,,,,,,,
bageecha pizza,peri peri paneer pizza,,,,,,,,,,
jamaican chicken melt,margherita pizza,,,,,,,,,,
mushroom mozzarella melt,murgh amritsari seekh melt,,,,,,,,,,
og cheese pide,masala paneer pide,,,,,,,,,,
murgh amritsari seekh melt,jamaican chicken melt,,,,,,,,,,
makhani paneer pizza,bageecha pizza,,,,,,,,,,
pepperoni garlic bread,murgh amritsari garlic bread,,,,,,,,,,
margherita pizza,,,,,,,,,,,
murgh amritsari seekh melt,angara paneer melt,,,,,,,,,,
murgh amritsari seekh pide,mutton seekh pide,,,,,,,,,,
tripple cheese pizza,jamaican chicken melt,just pepperoni pizza,bageecha pizza,,,,,,,,
mutton seekh pide,og cheese pide,,,,,,,,,,
bageecha pizza,peri peri paneer pizza,,,,,,,,,,
makhani paneer pizza,bageecha pizza,,,,,,,,,,
peri peri grilled chicken pizza,murgh amritsari seekh pizza,,,,,,,,,,
chilli cheese garlic bread,bageecha pizza,,,,,,,,,,
masala paneer pide,murgh amritsari seekh pide,,,,,,,,,,
murgh amritsari seekh pide,og cheese pide,,,,,,,,,,
masala paneer pide,,,,,,,,,,,
just pepperoni pizza,jamaican chicken melt,,,,,,,,,,
malai gud pide,jamaican chicken melt,,,,,,,,,,
jamaican chicken melt,,,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
fried chicken strips,jamaican chicken melt,,,,,,,,,,
chilli cheese garlic bread,fried chicken strips,jamaican chicken melt,,,,,,,,,
just pepperoni pizza,,,,,,,,,,,
peri peri grilled chicken pizza,,,,,,,,,,,
murgh amritsari seekh pizza,indian pico de-gallo,tripple cheese pizza,grilled tangdis,all about chicken pizza,,,,,,,
margherita pizza,,,,,,,,,,,
peri peri fries,bageecha pizza,,,,,,,,,,
fried chicken strips,,,,,,,,,,,
just pepperoni pide,murgh amritsari seekh pizza,,,,,,,,,,
chilli cheese garlic bread,grilled tangdis,,,,,,,,,,
margherita pizza,,,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
mushroom mozzarella melt,,,,,,,,,,,
all about chicken pizza,,,,,,,,,,,
desi pepperoni pizza,,,,,,,,,,,
grilled tangdis,all about chicken pizza,,,,,,,,,,
chilli cheese garlic bread,peri peri grilled chicken pizza,bageecha pizza,,,,,,,,,
mushroom mozzarella melt,,,,,,,,,,,
just pepperoni pizza,,,,,,,,,,,
desi chicken pepperoni pizza,fried chicken strips,,,,,,,,,,
chilli cheese garlic bread,chicken pepperoni pizza,,,,,,,,,,
peri peri grilled chicken pizza,,,,,,,,,,,
makhani paneer pizza,bageecha pizza,,,,,,,,,,
tipsy tiger fresh lime soda,fried chicken strips,salted fries,tipsy tiger ginger ale,margherita pizza,iced green tea - mojito,all about chicken pizza,,,,,
bageecha pizza,malai gud pide,,,,,,,,,,
chilli cheese garlic bread,mushroom pizza,,,,,,,,,,
desi pepperoni pizza,,,,,,,,,,,
makhani paneer pizza,,,,,,,,,,,
all about chicken pizza,bageecha pizza,,,,,,,,,,
peri peri paneer pizza,masala paneer pide,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
mushroom pizza,tripple cheese pizza,,,,,,,,,,
margherita pizza,,,,,,,,,,,
bageecha pizza,spinach sumac pide,,,,,,,,,,
murgh amritsari seekh melt,,,,,,,,,,,
peri peri fries,bageecha pizza,,,,,,,,,,
all about chicken pizza,murgh amritsari seekh pizza,tipsy tiger ginger ale,,,,,,,,,
bageecha pizza,,,,,,,,,,,
cheesy garlic bread,chicken pepperoni pizza,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
jamaican chicken melt,grilled tangdis,,,,,,,,,,
murgh amritsari garlic bread,,,,,,,,,,,
jamaican chicken melt,,,,,,,,,,,
margherita pizza,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
margherita pizza,,,,,,,,,,,
herbed potato,peri peri fries,,,,,,,,,,
angara paneer melt,,,,,,,,,,,
murgh amritsari garlic bread,,,,,,,,,,,
jamaican chicken melt,harisa mayo,,,,,,,,,,
fried chicken strips,murgh amritsari seekh pide,,,,,,,,,,
cheesy garlic bread,,,,,,,,,,,
mutton seekh pide,,,,,,,,,,,
all about chicken pizza,tripple cheese pizza,,,,,,,,,,
bageecha pizza,murgh amritsari seekh melt,,,,,,,,,,
jamaican chicken melt,angara paneer melt,fried chicken strips,,,,,,,,,
mushroom mozzarella melt,,,,,,,,,,,
murgh amritsari garlic bread,,,,,,,,,,,
makhani paneer pizza,,,,,,,,,,,
bellpepper onion pizza,jamaican chicken melt,murgh amritsari seekh melt,,,,,,,,,
chilli cheese garlic bread,margherita pizza,herbed potato,,,,,,,,,
mushroom mozzarella melt,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
aac special slaw,animal fries,onion bombs,grilled chicken peri peri tender,bone in jamaican grilled chicken,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
animal fries,bone in jamaican grilled chicken,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in smoky bbq grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,animal fries,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
grilled chicken smoky bbq tangdi,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in kabuli grilled chicken,animal fries,,,,,,,,,,
bone in angara grilled chicken,grilled chicken jamaican tangdi,grilled chicken angara tangdi,,,,,,,,,
fried chicken peri peri tenders + peri peri fries,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
grilled chicken smoky bbq tender,grilled chicken jamaican tender,,,,,,,,,,
fried chicken peri peri tender,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in smoky bbq grilled chicken,,,,,,,,,,,
fried chicken classic tender,,,,,,,,,,,
fried chicken classic tender,bone in jamaican grilled chicken,,,,,,,,,,
grilled chicken angara tangdi,bone in jamaican grilled chicken,,,,,,,,,,
grilled chicken jamaican tender,,,,,,,,,,,
aac saucy fries,,,,,,,,,,,
fried chicken peri peri tenders + peri peri fries,,,,,,,,,,,
grilled chicken smoky bbq tender,peri peri fries,bone in jamaican grilled chicken,,,,,,,,,
animal fries,fried chicken peri peri tender,,,,,,,,,,
animal fries,,,,,,,,,,,
fried chicken angara tender,,,,,,,,,,,
salted fries,,,,,,,,,,,
animal fries,grilled chicken peri peri tender,,,,,,,,,,
animal fries,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in kabuli grilled chicken,,,,,,,,,,,
bone in smoky bbq grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in kabuli grilled chicken,bone in smoky bbq grilled chicken,,,,,,,,,,
animal fries,fried chicken peri peri tender,,,,,,,,,,
grilled chicken ghostbuster tangdi,bone in jamaican grilled chicken,,,,,,,,,,
bone in jamaican grilled chicken,fried chicken angara tender,,,,,,,,,,
bone in angara grilled chicken,bone in peri peri grilled chicken,,,,,,,,,,
bone in smoky bbq grilled chicken,bone in angara grilled chicken,,,,,,,,,,
angara grilled paneer (8 pcs),bone in jamaican grilled chicken,grilled chicken peri peri tender,grilled chicken ghostbuster tangdi,bone in angara grilled chicken,grilled chicken smoky bbq tangdi,,,,,,
fried chicken classic tender,grilled chicken peri peri tender,,,,,,,,,,
bone in jamaican grilled chicken,bone in kabuli grilled chicken,,,,,,,,,,
bone in kabuli grilled chicken,bone in jamaican grilled chicken,,,,,,,,,,
bone in peri peri grilled chicken,bone in jamaican grilled chicken,,,,,,,,,,
bone in peri peri grilled chicken,bone in kabuli grilled chicken,,,,,,,,,,
bone in peri peri grilled chicken,bone in kabuli grilled chicken,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
fried chicken classic tender,bone in jamaican grilled chicken,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,bone in kabuli grilled chicken,,,,,,,,,,
bone in peri peri grilled chicken,bone in jamaican grilled chicken,,,,,,,,,,
grilled chicken jamaican tender,grilled chicken smoky bbq tender,,,,,,,,,,
bone in kabuli grilled chicken,bone in angara grilled chicken,,,,,,,,,,
bone in peri peri grilled chicken,bone in kabuli grilled chicken,,,,,,,,,,
bone in jamaican grilled chicken quarter + angara rice,tipsy tiger fresh lime soda,,,,,,,,,,
salted crisper fries,fried chicken strips,,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
cheesy garlic bread,chicken pepperoni pizza,,,,,,,,,,
bageecha pizza,cheesy garlic bread,,,,,,,,,,
cheesy garlic bread,,,,,,,,,,,
all about chicken pizza,desi chicken pepperoni pizza,murgh amritsari seekh pide,,,,,,,,,
mushroom pizza,bageecha pizza,herbed potato,,,,,,,,,
bageecha pizza,,,,,,,,,,,
tripple cheese pizza,,,,,,,,,,,
masala paneer pide,peri peri crisper fries,garlic aioli,peri peri paneer pizza,,,,,,,,
jamaican chicken melt,,,,,,,,,,,
jamaican chicken melt,peri peri grilled chicken pizza,,,,,,,,,,
murgh amritsari seekh pide,og cheese pide,,,,,,,,,,
herbed potato,,,,,,,,,,,
murgh amritsari seekh pizza,bageecha pizza,,,,,,,,,,
mushroom mozzarella melt,margherita pizza,,,,,,,,,,
spinach sumac pide,masala paneer pide,,,,,,,,,,
malai gud pide,herbed potato,masala paneer pide,bageecha pizza,margherita pizza,,,,,,,
chicken pepperoni pizza,,,,,,,,,,,
murgh amritsari seekh pide,masala paneer pide,,,,,,,,,,
angara paneer melt,mushroom mozzarella melt,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
makhani paneer pizza,,,,,,,,,,,
bageecha pizza,murgh amritsari seekh melt,,,,,,,,,,
chilli cheese garlic bread,all about chicken pizza,murgh amritsari seekh melt,fried chicken strips,,,,,,,,
chicken pepperoni pizza,,,,,,,,,,,
bageecha pizza,mushroom pizza,,,,,,,,,,
chilli cheese garlic bread,makhani paneer pizza,bageecha pizza,,,,,,,,,
just pepperoni pizza,herbed potato,bageecha pizza,fried chicken strips,,,,,,,,
makhani paneer pizza,bageecha pizza,,,,,,,,,,
murgh amritsari seekh melt,murgh amritsari seekh pide,chilli cheese garlic bread,jamaican chicken melt,,,,,,,,
mutton seekh pizza,mutton seekh pide,,,,,,,,,,
peri peri grilled chicken pizza,mushroom pizza,,,,,,,,,,
fried chicken strips,cheesy garlic bread,margherita pizza,,,,,,,,,
jamaican chicken melt,margherita pizza,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
murgh amritsari seekh pizza,all about chicken pizza,,,,,,,,,,
masala paneer pide,chilli cheese garlic bread,,,,,,,,,,
murgh amritsari seekh pide,herbed potato,,,,,,,,,,
jamaican chicken melt,makhani paneer pizza,,,,,,,,,,
makhani paneer pizza,bageecha pizza,,,,,,,,,,
all about chicken pizza,,,,,,,,,,,
murgh amritsari seekh pide,,,,,,,,,,,
mushroom pizza,bellpepper onion pizza,,,,,,,,,,
makhani paneer pizza,,,,,,,,,,,
bageecha pizza,jamaican chicken melt,,,,,,,,,,
peri peri crisper fries,mushroom pizza,crushed papad,,,,,,,,,
murgh amritsari garlic bread,,,,,,,,,,,
masala omelette pide,masala paneer pide,,,,,,,,,,
margherita pizza,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
masala omelette pide,,,,,,,,,,,
all about chicken pizza,chilli cheese garlic bread,,,,,,,,,,
tripple cheese pizza,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
mushroom pizza,masala paneer pide,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
bageecha pizza,chilli cheese garlic bread,,,,,,,,,,
salted crisper fries,tipsy tiger fresh lime soda,bellpepper onion pizza,,,,,,,,,
fried chicken strips,,,,,,,,,,,
iced green tea - peach,tripple cheese pizza,onion rings,,,,,,,,,
mushroom mozzarella melt,,,,,,,,,,,
herbed potato,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
murgh amritsari seekh pizza,,,,,,,,,,,
bageecha pizza,chilli cheese garlic bread,,,,,,,,,,
tripple cheese pizza,,,,,,,,,,,
murgh amritsari garlic bread,,,,,,,,,,,
mushroom mozzarella melt,,,,,,,,,,,
makhani paneer pizza,,,,,,,,,,,
cheesy garlic bread,just pepperoni pide,,,,,,,,,,
iced green tea - mojito,herbed potato,og cheese pide,iced green tea - peach,bellpepper onion pizza,,,,,,,
mushroom pizza,bageecha pizza,,,,,,,,,,
peri peri paneer pizza,all about chicken pizza,mutton seekh pide,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
margherita pizza,,,,,,,,,,,
makhani paneer pizza,,,,,,,,,,,
mushroom mozzarella melt,,,,,,,,,,,
margherita pizza,,,,,,,,,,,
indian pico de-gallo,all about chicken pizza,malai gud pide,,,,,,,,,
all about chicken pizza,,,,,,,,,,,
margherita pizza,angara paneer melt,,,,,,,,,,
masala omelette pide,masala potato pide,,,,,,,,,,
murgh amritsari garlic bread,all about chicken pizza,bageecha pizza,jamaican chicken melt,,,,,,,,
indian masala fries,peri peri chicken melt,fried chicken strips,murgh amritsari seekh pizza,,,,,,,,
bageecha pizza,makhani paneer pizza,,,,,,,,,,
og cheese pide,masala paneer pide,,,,,,,,,,
bageecha pizza,makhani paneer pizza,,,,,,,,,,
mutton seekh pide,murgh amritsari seekh pizza,all about chicken pizza,pepperoni garlic bread,,,,,,,,
mushroom mozzarella melt,,,,,,,,,,,
bageecha pizza,all about chicken pizza,,,,,,,,,,
bageecha pizza,margherita pizza,,,,,,,,,,
makhani paneer pizza,,,,,,,,,,,
mushroom pizza,bageecha pizza,,,,,,,,,,
makhani paneer pizza,peri peri paneer pizza,,,,,,,,,,
masala potato pide,angara paneer melt,,,,,,,,,,
chilli cheese garlic bread,margherita pizza,,,,,,,,,,
jamaican chicken melt,murgh amritsari garlic bread,murgh amritsari seekh melt,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
bellpepper onion pizza,harisa mayo,garlic aioli,murgh amritsari seekh pizza,,,,,,,,
all about chicken pizza,,,,,,,,,,,
masala paneer pide,,,,,,,,,,,
peri peri paneer pizza,makhani paneer pizza,,,,,,,,,,
chicken pepperoni pizza,murgh amritsari seekh pizza,jamaican chicken melt,,,,,,,,,
angara paneer melt,bageecha pizza,,,,,,,,,,
bageecha pizza,chilli cheese garlic bread,,,,,,,,,,
og cheese pide,tripple cheese pizza,bageecha pizza,herbed potato,,,,,,,,
masala paneer pide,,,,,,,,,,,
bageecha pizza,makhani paneer pizza,,,,,,,,,,
all about chicken pizza,,,,,,,,,,,
tripple cheese pizza,,,,,,,,,,,
margherita pizza,jamaican chicken melt,,,,,,,,,,
bageecha pizza,makhani paneer pizza,,,,,,,,,,
chilli cheese garlic bread,angara paneer melt,,,,,,,,,,
all about chicken pizza,bageecha pizza,,,,,,,,,,
mushroom pizza,,,,,,,,,,,
all about chicken pizza,desi chicken pepperoni pizza,,,,,,,,,,
cheesy garlic bread,makhani paneer pizza,,,,,,,,,,
tripple cheese pizza,bageecha pizza,,,,,,,,,,
bageecha pizza,desi chicken pepperoni pizza,indian masala fries,harisa mayo,,,,,,,,
margherita pizza,angara paneer melt,,,,,,,,,,
chilli cheese garlic bread,masala paneer pide,,,,,,,,,,
tripple cheese pizza,mushroom pizza,,,,,,,,,,
murgh amritsari seekh pizza,all about chicken pizza,,,,,,,,,,
indian masala fries,,,,,,,,,,,
margherita pizza,peri peri paneer pizza,,,,,,,,,,
cheesy garlic bread,bageecha pizza,,,,,,,,,,
